1293.243042	730.474365	603.258606
696.127563	875.488159	634.388367
-90.562469	1083.955688	560.550537
-863.541687	1164.164185	439.737274
-608.169983	507.192200	877.603882
-618.026062	-292.011017	816.205017
588.289307	-331.311157	785.246094
634.272278	292.608093	772.476257
463.428711	1763.842773	472.566223
42.892426	1894.892456	430.666443
-426.987152	1773.795776	407.463745
-1163.510620	1781.949829	343.838898
-1240.267456	442.198639	341.140106
-1203.463135	-201.068939	289.937042
-1255.085205	-850.671875	324.840668
-1399.335327	-1393.292603	344.530853
-986.743896	-1510.263306	334.335144
-734.059937	-981.823486	333.895294
-134.156906	-774.386597	283.913574
278.640137	-895.285156	291.816772
751.491394	-1094.361328	316.766724
1139.863281	-1146.043335	325.896637
1441.184937	-1445.020996	323.760437
1386.043579	-918.843445	349.806610
